"ideot","EOT"
1,"1° DE DICIEMBRE SRL"
2,"1° DE MAYO SRL"
3,"16 DE NOVIEMBRE SRL"
4,"3 DE FEBRERO SA"
5,"ALDANA SA"
6,"AREGUEÑA SA"
7,"AUT. VILLA HAYES SRL"
7,"AUTOMOTORES GUARANI SACI"
7,"AUTOMOTORES GUARANI SRL"
8,"CAMPO LIMPIO SA"
9,"CAPIATA SRL"
10,"CERRO KOI SA"
11,"CHOFERES DEL CHACO SA"
12,"CIRCULAR ODESUR"
13,"CIUDAD DE LIMPIO SRL"
14,"CIUDAD DE LUQUE SRL"
15,"CIUDAD DE VILLETA SA"
16,"COTRISA"
17,"DE LA CONQUISTA SA"
18,"DEL SUR"
19,"GENERAL AQUINO SRL"
20,"GM T Y T  SRL"
21,"GONZALEZ QUIÑONEZ SRL"
22,"GRUPO BENE SA"
23,"INTER SA"
24,"LA CHAQUEÑA SATC"
25,"LA LIMPEÑA SRL"
26,"LA LOMITA SA"
27,"LA SANLORENZANA SA"
28,"LAGO AZUL DE YPACARAI SA"
29,"LINCE SRL"
30,"MAGNO SA"
31,"MARISCAL LOPEZ SRL"
32,"NATIVIDAD DE LA V. MARIA SRL"
33,"ÑANDUTI SRL"
34,"PANCHITO LOPEZ SA"
35,"PUERTO ELSEÑO KO CHE"
36,"PUERTO FALCON SA"
37,"SAN ISIDRO SRL"
38,"SAN JOSE OBRERO SA"
39,"SAN LORENZO CISA"
40,"SMTC SRL"
41,"TRANSPORTISTA GUARANI SRL"
42,"TTL SA"
43,"VANGUARDIA SACI"
44,"XIMEX SA"
45,"YPACARAI SA"
